"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 25 22:52:50 GMT 2024","Thu Jan 25 22:52:50 GMT 2024","189","Test Cycle 2 - Login","Test Case 6 - Invalid Username","","","","Login",""
"passed","Thu Jan 25 22:52:50 GMT 2024","Thu Jan 25 22:52:50 GMT 2024","470","Test Cycle 2 - Login","Test Case 7 - Invalid Password","","","","Login",""
"passed","Thu Jan 25 22:52:52 GMT 2024","Thu Jan 25 22:52:52 GMT 2024","196","Test Cycle 4 - Logout","Test Case 1  - Logout After Login","","","","Logout",""
"passed","Thu Jan 25 22:52:46 GMT 2024","Thu Jan 25 22:52:46 GMT 2024","443","Test Cycle 1 - Registration","TestCase_2_InvalidVerificationToken Copy","","","","Verify",""
"failed","Thu Jan 25 22:52:52 GMT 2024","Thu Jan 25 22:52:52 GMT 2024","206","Test Cycle 4 - Logout","Test Case 1  - Logout After Login","","","","User Profile",""
"passed","Thu Jan 25 22:52:49 GMT 2024","Thu Jan 25 22:52:49 GMT 2024","188","Test Cycle 2 - Login","Test Case 4 - Empty Username","","","","Login",""
"passed","Thu Jan 25 22:52:48 GMT 2024","Thu Jan 25 22:52:48 GMT 2024","288","Test Cycle 2 - Login","Test Case 1 - Valid Login Details","","","","Login",""
"passed","Thu Jan 25 22:52:51 GMT 2024","Thu Jan 25 22:52:52 GMT 2024","203","Test Cycle 4 - Logout","Test Case 1  - Logout After Login","","","","User Profile",""
"passed","Thu Jan 25 22:52:51 GMT 2024","Thu Jan 25 22:52:51 GMT 2024","195","Test Cycle 3 - Profile","Test Case 1 - Accessing Profile","","","","User Profile",""
"passed","Thu Jan 25 22:52:49 GMT 2024","Thu Jan 25 22:52:50 GMT 2024","457","Test Cycle 2 - Login","Test Case 5 - Empty Password","","","","Login",""
"passed","Thu Jan 25 22:52:47 GMT 2024","Thu Jan 25 22:52:48 GMT 2024","1430","Test Cycle 1 - Registration","TestCase_4_ExcessDataInRequestBody Copy","","","","Register User",""
"passed","Thu Jan 25 22:52:49 GMT 2024","Thu Jan 25 22:52:49 GMT 2024","353","Test Cycle 2 - Login","Test Case 3 - Missing Password","","","","Login",""
"passed","Thu Jan 25 22:52:51 GMT 2024","Thu Jan 25 22:52:51 GMT 2024","336","Test Cycle 4 - Logout","Test Case 1  - Logout After Login","","","","Login",""
"passed","Thu Jan 25 22:52:48 GMT 2024","Thu Jan 25 22:52:49 GMT 2024","185","Test Cycle 2 - Login","Test Case 2 - Missing Username","","","","Login",""
"failed","Thu Jan 25 22:52:46 GMT 2024","Thu Jan 25 22:52:47 GMT 2024","345","Test Cycle 1 - Registration","TestCase_3_MissingUsername Copy","","","","Register User",""
"passed","Thu Jan 25 22:52:50 GMT 2024","Thu Jan 25 22:52:51 GMT 2024","290","Test Cycle 2 - Login","TestCase 8 - Excess Data in Request Body","","","","Login",""
"passed","Thu Jan 25 22:52:51 GMT 2024","Thu Jan 25 22:52:51 GMT 2024","293","Test Cycle 3 - Profile","Test Case 1 - Accessing Profile","","","","Login",""
